departure_hour,total_flights,delay_rate
5,5,0.2
6,39,0.13
7,28,0.14
8,36,0.22
9,27,0.22
10,28,0.21
11,25,0.16
12,27,0.3
13,35,0.34
14,42,0.29
15,32,0.25
16,30,0.43
17,29,0.38
18,38,0.29
19,25,0.44
20,14,0.5
21,20,0.5
22,13,0.23
23,7,0.14
