MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",ECP,"Panama City, FL",1123,45.0,1201,34.0,0.0,0.0,437.0,34.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",1059,-2.0,1242,17.0,0.0,0.0,529.0,0.0,0.0,17.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",1300,0.0,1444,-8.0,0.0,0.0,529.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",1654,-1.0,1841,5.0,0.0,0.0,529.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",1831,-6.0,2019,-9.0,0.0,0.0,529.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",2051,1.0,2240,-1.0,0.0,0.0,529.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EWR,"Newark, NJ",2250,-5.0,50,-26.0,0.0,0.0,529.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EYW,"Key West, FL",1105,-4.0,1317,-7.0,0.0,0.0,736.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EYW,"Key West, FL",1430,-7.0,1640,-12.0,0.0,0.0,736.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",EYW,"Key West, FL",1825,-9.0,2039,-19.0,0.0,0.0,736.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1015,42.0,1213,43.0,0.0,0.0,632.0,0.0,0.0,1.0,0.0,42.0
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1215,1.0,1413,-6.0,0.0,0.0,632.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1435,-4.0,1630,-12.0,0.0,0.0,632.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1625,22.0,1821,16.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,16.0
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1830,-6.0,2029,1.0,0.0,0.0,632.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",2042,-4.0,2243,-19.0,0.0,0.0,632.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",2220,6.0,25,-15.0,0.0,0.0,632.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,CLT,"Charlotte, NC",GRR,"Grand Rapids, MI",1300,-1.0,1452,-5.0,0.0,0.0,583.0,,,,,
