MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",ORD,"Chicago, IL",2335,3.0,516,-22.0,0.0,0.0,1514.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHL,"Philadelphia, PA",900,-1.0,1639,-33.0,0.0,0.0,2176.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHL,"Philadelphia, PA",1237,62.0,2003,49.0,0.0,0.0,2176.0,30.0,0.0,0.0,0.0,19.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHL,"Philadelphia, PA",2315,10.0,654,1.0,0.0,0.0,2176.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",948,35.0,1159,60.0,0.0,0.0,255.0,0.0,0.0,60.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",1235,20.0,1451,57.0,0.0,0.0,255.0,0.0,0.0,57.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",1630,26.0,1844,54.0,0.0,0.0,255.0,0.0,0.0,28.0,0.0,26.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",1005,-9.0,1714,-15.0,0.0,0.0,1947.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",AUS,"Austin, TX",700,-2.0,1156,20.0,0.0,0.0,1242.0,0.0,0.0,20.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",AUS,"Austin, TX",1315,-7.0,1809,1.0,0.0,0.0,1242.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",AUS,"Austin, TX",1855,94.0,2348,87.0,0.0,0.0,1242.0,3.0,0.0,0.0,0.0,84.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",BNA,"Nashville, TN",1700,-4.0,2250,12.0,0.0,0.0,1797.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",BOS,"Boston, MA",820,15.0,1645,-13.0,0.0,0.0,2611.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",BOS,"Boston, MA",1040,9.0,1906,-16.0,0.0,0.0,2611.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",BOS,"Boston, MA",2245,48.0,711,22.0,0.0,0.0,2611.0,22.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",620,-4.0,1353,-12.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",925,2.0,1705,-23.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",1130,5.0,1905,-10.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",1350,-6.0,2125,-10.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",2215,-2.0,549,-12.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",2248,-1.0,626,-7.0,0.0,0.0,2125.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DCA,"Washington, DC",800,4.0,1554,-26.0,0.0,0.0,2311.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DCA,"Washington, DC",1323,-1.0,2115,-30.0,0.0,0.0,2311.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",627,0.0,1128,3.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",700,3.0,1201,-7.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",900,10.0,1408,-7.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1000,477.0,1501,465.0,0.0,0.0,1235.0,465.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1220,-6.0,1720,-1.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1432,-3.0,1932,3.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1526,-4.0,2027,-14.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1635,-3.0,2135,-10.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",1830,-1.0,2330,-15.0,0.0,0.0,1235.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",2359,51.0,500,42.0,0.0,0.0,1235.0,42.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",FLL,"Fort Lauderdale, FL",2139,44.0,524,41.0,0.0,0.0,2343.0,3.0,0.0,0.0,0.0,38.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",905,3.0,1310,-15.0,0.0,0.0,2556.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",1427,19.0,1823,14.0,0.0,0.0,2556.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",1700,15.0,2057,8.0,0.0,0.0,2556.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",1830,0.0,2227,3.0,0.0,0.0,2556.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",IND,"Indianapolis, IN",1015,8.0,1715,0.0,0.0,0.0,1814.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",630,-8.0,1451,-48.0,0.0,0.0,2475.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",730,15.0,1552,-23.0,0.0,0.0,2475.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",830,-2.0,1700,-52.0,0.0,0.0,2475.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",1150,108.0,2012,79.0,0.0,0.0,2475.0,79.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",1300,-5.0,2124,-33.0,0.0,0.0,2475.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",JFK,"New York, NY",2208,40.0,630,17.0,0.0,0.0,2475.0,17.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",KOA,"Kona, HI",900,-2.0,1258,-20.0,0.0,0.0,2504.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1035,-8.0,1149,-4.0,0.0,0.0,236.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1901,-6.0,2015,-12.0,0.0,0.0,236.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",2100,-7.0,2212,9.0,0.0,0.0,236.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",LIH,"Lihue, HI",912,-4.0,1325,-19.0,0.0,0.0,2615.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MCO,"Orlando, FL",830,-7.0,1618,-8.0,0.0,0.0,2218.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MCO,"Orlando, FL",2300,49.0,640,48.0,0.0,0.0,2218.0,48.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",113,12.0,900,-4.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",642,-7.0,1436,-25.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",755,-7.0,1541,-30.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",1028,-2.0,1821,17.0,0.0,0.0,2342.0,0.0,0.0,17.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",1245,-2.0,2029,-13.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",1405,-5.0,2145,5.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",2159,37.0,539,32.0,0.0,0.0,2342.0,6.0,0.0,0.0,0.0,26.0
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",MIA,"Miami, FL",2350,-1.0,747,-5.0,0.0,0.0,2342.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",OGG,"Kahului, HI",1004,-5.0,1355,-17.0,0.0,0.0,2486.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",OGG,"Kahului, HI",1641,-7.0,2032,-19.0,0.0,0.0,2486.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,LAX,"Los Angeles, CA",OGG,"Kahului, HI",1831,-6.0,2222,-9.0,0.0,0.0,2486.0,,,,,
