MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PBI,"West Palm Beach/Palm Beach, FL",1005,4.0,1415,-19.0,0.0,0.0,1144.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PBI,"West Palm Beach/Palm Beach, FL",1648,14.0,2042,3.0,0.0,0.0,1144.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",630,-2.0,924,-18.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",805,-4.0,1101,-9.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",936,19.0,1246,-10.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",1125,-3.0,1415,-10.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",1455,24.0,1748,12.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHL,"Philadelphia, PA",1702,6.0,1955,6.0,0.0,0.0,678.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",705,26.0,953,20.0,0.0,0.0,1440.0,20.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",925,5.0,1234,11.0,0.0,0.0,1440.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",1100,-2.0,1353,19.0,0.0,0.0,1440.0,0.0,0.0,19.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",1320,-4.0,1621,-3.0,0.0,0.0,1440.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",1642,-7.0,1932,16.0,0.0,0.0,1440.0,0.0,0.0,16.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PHX,"Phoenix, AZ",1947,4.0,2242,-3.0,0.0,0.0,1440.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",1355,-8.0,1615,-11.0,0.0,0.0,413.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",PSP,"Palm Springs, CA",924,160.0,1158,138.0,0.0,0.0,1651.0,138.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",RDU,"Raleigh/Durham, NC",1315,65.0,1616,41.0,0.0,0.0,646.0,41.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",RDU,"Raleigh/Durham, NC",2025,26.0,2321,14.0,0.0,0.0,646.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",RSW,"Fort Myers, FL",955,-2.0,1400,-23.0,0.0,0.0,1120.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",RSW,"Fort Myers, FL",1326,24.0,1723,-1.0,0.0,0.0,1120.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",RSW,"Fort Myers, FL",1810,1.0,2205,-1.0,0.0,0.0,1120.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SAN,"San Diego, CA",1805,-3.0,2033,-8.0,0.0,0.0,1723.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SAN,"San Diego, CA",1941,1.0,2203,15.0,0.0,0.0,1723.0,1.0,0.0,14.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SAT,"San Antonio, TX",925,-6.0,1233,-23.0,0.0,0.0,1041.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SAT,"San Antonio, TX",1700,-2.0,1954,8.0,0.0,0.0,1041.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SEA,"Seattle, WA",1945,57.0,2232,42.0,0.0,0.0,1721.0,42.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SFO,"San Francisco, CA",1925,-2.0,2213,-9.0,0.0,0.0,1846.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SJU,"San Juan, PR",1717,218.0,2346,218.0,0.0,0.0,2072.0,117.0,0.0,0.0,0.0,101.0
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SMF,"Sacramento, CA",2025,11.0,2308,-5.0,0.0,0.0,1781.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,ORD,"Chicago, IL",SNA,"Santa Ana, CA",1315,-4.0,1556,-19.0,0.0,0.0,1726.0,,,,,
