MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",CMH,"Columbus, OH",2041,40.0,2359,40.0,0.0,0.0,926.0,40.0,0.0,0.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",COS,"Colorado Springs, CO",1258,-5.0,1353,5.0,0.0,0.0,592.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",COS,"Colorado Springs, CO",2251,-11.0,2346,-18.0,0.0,0.0,592.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",1545,-4.0,1850,-7.0,0.0,0.0,812.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",1840,-1.0,2148,-6.0,0.0,0.0,812.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",2047,0.0,2353,14.0,0.0,0.0,812.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",830,-6.0,1219,-17.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",1031,-4.0,1424,-17.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",1221,0.0,1609,-11.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",1526,1.0,1910,2.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",1715,152.0,2059,144.0,0.0,0.0,1192.0,0.0,0.0,0.0,0.0,144.0
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",1916,-3.0,2304,-19.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",2044,7.0,28,0.0,0.0,0.0,1192.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",1059,51.0,1205,46.0,0.0,0.0,641.0,32.0,0.0,0.0,0.0,14.0
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",1250,-4.0,1352,-4.0,0.0,0.0,641.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",1458,0.0,1600,30.0,0.0,0.0,641.0,0.0,0.0,30.0,0.0,0.0
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",1640,-5.0,1746,-20.0,0.0,0.0,641.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",1858,29.0,2002,14.0,0.0,0.0,641.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",2113,4.0,2216,-4.0,0.0,0.0,641.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",2225,-1.0,2328,-9.0,0.0,0.0,641.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DSM,"Des Moines, IA",1041,-2.0,1237,6.0,0.0,0.0,624.0,,,,,
1,1,7,1/1/2023 12:00:00 AM,AA,DFW,"Dallas/Fort Worth, TX",DSM,"Des Moines, IA",1644,-2.0,1838,5.0,0.0,0.0,624.0,,,,,
