departure_hour,total_flights,delay_rate
0,1,0.0
5,2,0.0
6,7,0.14
7,15,0.13
8,10,0.0
9,11,0.0
10,26,0.12
11,51,0.24
12,27,0.11
13,35,0.17
14,35,0.06
15,23,0.04
16,47,0.19
17,24,0.04
18,58,0.22
19,21,0.1
20,49,0.14
21,9,0.22
22,47,0.21
23,2,0.5
