departure_hour,total_flights,delay_rate
5,11,0.27
6,35,0.09
7,31,0.13
8,35,0.17
9,33,0.15
10,39,0.23
11,31,0.23
12,42,0.12
13,40,0.15
14,28,0.04
15,34,0.06
16,33,0.09
17,25,0.12
18,25,0.16
19,16,0.19
20,14,0.0
21,27,0.15
22,1,0.0
