departure_hour,total_flights,delay_rate
0,1,0.0
1,1,0.0
5,26,0.15
6,121,0.13
7,127,0.16
8,124,0.14
9,126,0.13
10,167,0.16
11,154,0.23
12,182,0.19
13,174,0.2
14,160,0.16
15,140,0.15
16,165,0.2
17,151,0.21
18,181,0.21
19,147,0.18
20,132,0.2
21,102,0.25
22,96,0.22
23,23,0.17
