departure_hour,total_flights,delay_rate
5,4,0.0
6,15,0.33
7,19,0.26
8,14,0.07
9,19,0.0
10,42,0.1
11,27,0.26
12,53,0.25
13,27,0.11
14,31,0.23
15,30,0.23
16,30,0.2
17,35,0.14
18,31,0.19
19,47,0.11
20,30,0.23
21,22,0.05
22,19,0.16
23,5,0.0
